context,good_response,bad_response,good_score,bad_score
"Category: Electronics, Sentiment: negative, Outcome: abandon, Message: I want to track my package that was supposed to arrive yesterday",I understand your frustration. Let me help you find UltraSound Headphones with excellent durability.,I apologize for the issue. I recommend TechPro Laptop which has outstanding performance.,4.8033931828509635,2.832927749618841
"Category: Electronics, Sentiment: negative, Outcome: abandon, Message: Can you recommend something within $50-100 budget?",I understand your frustration. Let me help you find SmartView Monitor with outstanding performance.,I'm sorry about that. Our UltraSound Headphones has excellent long warranty coverage ratings.,4.688430577464335,3.2284445278552685
"Category: Electronics, Sentiment: negative, Outcome: abandon, Message: I'm allergic to certain materials, what are the fabric contents?",I understand your frustration. Let me help you find UltraSound Headphones with premium quality materials.,I'm sorry about that. Our UltraSound Headphones has excellent premium quality materials ratings.,4.042272210421396,3.046463856209319
"Category: Electronics, Sentiment: negative, Outcome: abandon, Message: The product description doesn't match what I received",I understand your frustration. Let me help you find UltraSound Headphones with high customer ratings.,I apologize for the issue. I recommend SmartView Monitor which has long warranty coverage.,4.576286400124075,3.22709497490545
"Category: Clothing, Sentiment: negative, Outcome: abandon, Message: Can you recommend kitchen appliances that are energy efficient?",I understand your frustration. Let me help you find ActiveWear Jacket with outstanding performance.,I apologize for the issue. I recommend ActiveWear Jacket which has outstanding performance.,4.52487439158175,3.3900478938895846
"Category: Clothing, Sentiment: positive, Outcome: abandon, Message: The quality of materials seems poor compared to previous versions",I'm glad you're interested! I recommend ActiveWear Jacket which has excellent reviews.,Perfect! I suggest ComfortFit Shirt - it's one of our best sellers.,4.5030962158437875,3.204258857399652
"Category: Electronics, Sentiment: negative, Outcome: abandon, Message: What payment methods do you accept for international orders?",I understand your frustration. Let me help you find TechPro Laptop with premium quality materials.,I'm sorry about that. Our TechPro Laptop has excellent long warranty coverage ratings.,4.386394742140581,3.359976256827486
"Category: Electronics, Sentiment: negative, Outcome: abandon, Message: Can you help me find wireless headphones with noise cancellation?",I understand your frustration. Let me help you find TechPro Laptop with high customer ratings.,I'm sorry about that. Our UltraSound Headphones has excellent excellent durability ratings.,4.453902779801196,3.475185492831052
"Category: Electronics, Sentiment: negative, Outcome: purchase, Message: Can I add another item to my existing order that hasn't shipped?",I understand your frustration. Let me help you find SmartView Monitor with outstanding performance.,I apologize for the issue. I recommend TechPro Laptop which has premium quality materials.,4.449916961876849,3.3055069189568913
"Category: Clothing, Sentiment: negative, Outcome: abandon, Message: I need running shoes that are comfortable for long distances",I'm sorry about that. Our TrekPro Jeans has excellent outstanding performance ratings.,I'm sorry about that. Our ActiveWear Jacket has excellent outstanding performance ratings.,4.445617020353625,3.426181253561015
"Category: Electronics, Sentiment: positive, Outcome: abandon, Message: The product description doesn't match what I received",I'm glad you're interested! I recommend TechPro Laptop which has excellent reviews.,Great choice! Our TechPro Laptop is highly rated for long warranty coverage.,4.081198187546263,3.3926168505796057
"Category: Electronics, Sentiment: neutral, Outcome: abandon, Message: The product description doesn't match what I received",I can help you with that. I recommend TechPro Laptop for your needs.,I can help you with that. I recommend SmartView Monitor for your needs.,4.432975566801608,3.2630676977975157
"Category: Clothing, Sentiment: negative, Outcome: escalate, Message: The product photo looks different from what I actually received",I understand your frustration. Let me help you find ComfortFit Shirt with premium quality materials.,I apologize for the issue. I recommend ActiveWear Jacket which has high customer ratings.,4.42865731234407,3.426099415646046
"Category: Electronics, Sentiment: positive, Outcome: escalate, Message: What is the warranty period for electronic devices?",Great choice! Our TechPro Laptop is highly rated for premium quality materials.,Great choice! Our UltraSound Headphones is highly rated for excellent durability.,4.428448736146535,3.4831564604044387
"Category: Clothing, Sentiment: neutral, Outcome: purchase, Message: The promotional code isn't working at checkout, please help",I can help you with that. I recommend TrekPro Jeans for your needs.,Let me suggest ActiveWear Jacket which fits your requirements.,4.426966882305916,3.2920439518290743
"Category: Electronics, Sentiment: positive, Outcome: purchase, Message: Can you send me the instruction manual for this product?",I'm glad you're interested! I recommend TechPro Laptop which has excellent reviews.,Great choice! Our UltraSound Headphones is highly rated for premium quality materials.,4.397411125525071,3.406092887535068
"Category: Electronics, Sentiment: negative, Outcome: abandon, Message: I received the wrong item and need to exchange it immediately",I understand your frustration. Let me help you find SmartView Monitor with long warranty coverage.,I'm sorry about that. Our SmartView Monitor has excellent long warranty coverage ratings.,4.393115410650991,3.1195569045105507
"Category: Electronics, Sentiment: negative, Outcome: abandon, Message: Can I exchange this jacket for a different style?",I understand your frustration. Let me help you find TechPro Laptop with excellent durability.,I understand your frustration. Let me help you find UltraSound Headphones with high customer ratings.,4.387989848572378,3.466410750037059
"Category: Electronics, Sentiment: negative, Outcome: abandon, Message: What is the warranty period for electronic devices?",I understand your frustration. Let me help you find UltraSound Headphones with long warranty coverage.,I apologize for the issue. I recommend SmartView Monitor which has premium quality materials.,4.3673753312878425,3.0897683625539285
