customer_id,product_category,sentiment,timestamp,conversation_text,outcome
CUST_000003,Home,positive,2021-08-13T00:00:00,Looking for eco-friendly and sustainable clothing options,abandon
CUST_000005,Sports,positive,2020-07-16T00:00:00,I want to file a complaint about the rude customer service agent,abandon
CUST_000011,Electronics,positive,2023-04-29T00:00:00,I want to upgrade my order to premium shipping before it leaves,abandon
CUST_000014,Electronics,positive,2020-01-15T00:00:00,Do you ship to rural areas and what are the delivery times?,purchase
CUST_000016,Electronics,negative,2020-01-27T00:00:00,Do you have any promotions or sales happening this weekend?,abandon
CUST_000019,Clothing,neutral,2023-04-20T00:00:00,I'm looking for a durable product for outdoor use,abandon
CUST_000021,Electronics,positive,2019-07-26T00:00:00,Can you recommend a good quality backpack for hiking trips?,purchase
CUST_000024,Home,neutral,2023-12-25T00:00:00,"My previous purchase broke after 2 weeks, need replacement",abandon
CUST_000026,Electronics,negative,2023-07-22T00:00:00,The product arrived on time but the box was severely damaged,abandon
CUST_000031,Electronics,positive,2020-11-29T00:00:00,The item was listed as new but appears to be refurbished,escalate
CUST_000035,Electronics,neutral,2019-07-17T00:00:00,The customer service representative was very helpful yesterday,abandon
CUST_000038,Clothing,positive,2023-10-01T00:00:00,Looking for vegan leather handbags that are stylish and affordable,abandon
CUST_000041,Clothing,neutral,2021-05-30T00:00:00,"My previous purchase broke after 2 weeks, need replacement",escalate
CUST_000043,Clothing,negative,2020-02-08T00:00:00,Do you offer student discounts on laptops and tablets?,abandon
CUST_000044,Clothing,negative,2023-07-07T00:00:00,The jeans I bought last month tore very easily and I'm disappointed,abandon
CUST_000050,Sports,neutral,2023-12-05T00:00:00,What are the shipping costs for express delivery options?,abandon
CUST_000056,Electronics,positive,2023-12-22T00:00:00,The sizing chart on your website seems inaccurate for clothing,escalate
CUST_000057,Clothing,neutral,2020-09-17T00:00:00,The battery life on this device is much shorter than advertised,abandon
CUST_000058,Electronics,positive,2022-11-10T00:00:00,I need a birthday gift for my sister who loves reading,abandon
CUST_000059,Clothing,neutral,2023-02-09T00:00:00,The sizing chart on your website seems inaccurate for clothing,abandon
CUST_000061,Clothing,neutral,2020-02-04T00:00:00,I want to track my package that was supposed to arrive yesterday,abandon
CUST_000062,Electronics,positive,2021-04-13T00:00:00,The battery life on this device is much shorter than advertised,abandon
CUST_000064,Electronics,positive,2021-04-17T00:00:00,Can you recommend a good quality backpack for hiking trips?,abandon
CUST_000065,Electronics,neutral,2023-05-15T00:00:00,I want to file a complaint about the rude customer service agent,escalate
CUST_000066,Electronics,negative,2021-09-18T00:00:00,I love this brand and have been a loyal customer for years,abandon
CUST_000067,Clothing,neutral,2019-09-26T00:00:00,Can I get a gift receipt without showing the price?,abandon
CUST_000068,Electronics,neutral,2021-04-10T00:00:00,My credit card was charged twice for the same order,abandon
CUST_000074,Electronics,positive,2021-12-28T00:00:00,I need durable furniture that can withstand kids and pets,purchase
CUST_000076,Electronics,neutral,2022-08-05T00:00:00,I love this brand and have been a loyal customer for years,abandon
CUST_000078,Clothing,neutral,2019-12-02T00:00:00,"My previous purchase broke after 2 weeks, need replacement",purchase
CUST_000081,Home,negative,2019-10-12T00:00:00,Do you have this shirt in a larger size and different color?,purchase
CUST_000092,Electronics,neutral,2023-02-01T00:00:00,The quality of materials seems poor compared to previous versions,escalate
CUST_000100,Electronics,negative,2019-02-08T00:00:00,What's your return policy?,purchase
CUST_000102,Clothing,neutral,2024-06-19T00:00:00,The product arrived on time but the box was severely damaged,escalate
CUST_000103,Electronics,positive,2021-04-03T00:00:00,Can you send me the instruction manual for this product?,purchase
CUST_000105,Electronics,negative,2022-06-06T00:00:00,The quality of materials seems poor compared to previous versions,abandon
CUST_000106,Home,neutral,2022-06-10T00:00:00,The item was listed as new but appears to be refurbished,abandon
CUST_000113,Home,negative,2021-05-26T00:00:00,I need this shipped urgently for a gift,purchase
CUST_000115,Electronics,positive,2020-11-19T00:00:00,Do you have this shirt in a larger size and different color?,purchase
CUST_000116,Electronics,positive,2020-02-09T00:00:00,What are the best-selling products in your sports equipment category?,purchase
CUST_000118,Electronics,neutral,2020-12-14T00:00:00,I need running shoes that are comfortable for long distances,abandon
CUST_000121,Electronics,positive,2019-09-07T00:00:00,I want to upgrade my order to premium shipping before it leaves,abandon
CUST_000123,Clothing,neutral,2020-09-15T00:00:00,I need durable furniture that can withstand kids and pets,abandon
CUST_000124,Clothing,neutral,2024-10-23T00:00:00,"I'm allergic to certain materials, what are the fabric contents?",escalate
CUST_000127,Home,positive,2024-10-29T00:00:00,I need this shipped urgently for a gift,abandon
CUST_000129,Clothing,positive,2024-12-13T00:00:00,Can you recommend kitchen appliances that are energy efficient?,abandon
CUST_000132,Electronics,neutral,2024-05-23T00:00:00,"I'm allergic to certain materials, what are the fabric contents?",purchase
CUST_000135,Electronics,positive,2024-09-25T00:00:00,The customer service representative was very helpful yesterday,purchase
CUST_000139,Clothing,positive,2022-08-28T00:00:00,"I'm allergic to certain materials, what are the fabric contents?",abandon
CUST_000141,Electronics,positive,2022-04-30T00:00:00,"The shoes are too tight, can I return them after wearing once?",abandon
CUST_000144,Clothing,neutral,2019-04-21T00:00:00,The customer service representative was very helpful yesterday,abandon
CUST_000147,Electronics,positive,2023-05-25T00:00:00,What are the best-selling products in your sports equipment category?,purchase
CUST_000150,Electronics,positive,2023-10-22T00:00:00,What payment methods do you accept for international orders?,abandon
CUST_000151,Clothing,positive,2024-07-14T00:00:00,"I'm allergic to certain materials, what are the fabric contents?",abandon
CUST_000157,Electronics,negative,2019-11-17T00:00:00,I need technical support for setting up my new wireless router,purchase
CUST_000159,Home,negative,2019-08-24T00:00:00,Can I get a gift receipt without showing the price?,purchase
CUST_000160,Clothing,negative,2023-04-20T00:00:00,I'm looking for a durable product for outdoor use,abandon
CUST_000163,Electronics,positive,2023-11-08T00:00:00,The sizing chart on your website seems inaccurate for clothing,abandon
CUST_000166,Home,neutral,2024-05-24T00:00:00,The product description doesn't match what I received,escalate
CUST_000169,Clothing,neutral,2021-08-08T00:00:00,Can you send me the instruction manual for this product?,purchase
CUST_000177,Electronics,neutral,2024-02-07T00:00:00,The sizing chart on your website seems inaccurate for clothing,abandon
CUST_000183,Electronics,neutral,2021-07-27T00:00:00,I want to file a complaint about the rude customer service agent,escalate
CUST_000185,Electronics,neutral,2021-09-29T00:00:00,The customer service representative was very helpful yesterday,purchase
CUST_000188,Electronics,positive,2021-08-09T00:00:00,My credit card was charged twice for the same order,abandon
CUST_000190,Electronics,positive,2022-10-26T00:00:00,I need durable furniture that can withstand kids and pets,abandon
CUST_000192,Electronics,negative,2021-03-10T00:00:00,I need running shoes that are comfortable for long distances,purchase
CUST_000195,Clothing,positive,2022-07-11T00:00:00,I want to upgrade my order to premium shipping before it leaves,abandon
CUST_000201,Electronics,neutral,2021-12-12T00:00:00,I want to file a complaint about the rude customer service agent,purchase
CUST_000204,Electronics,neutral,2019-08-25T00:00:00,"The shoes are too tight, can I return them after wearing once?",purchase
CUST_000206,Electronics,positive,2019-03-16T00:00:00,The product description doesn't match what I received,escalate
CUST_000213,Electronics,neutral,2019-04-08T00:00:00,I need durable furniture that can withstand kids and pets,escalate
CUST_000215,Electronics,negative,2019-12-31T00:00:00,Can you recommend kitchen appliances that are energy efficient?,abandon
CUST_000218,Clothing,neutral,2019-04-12T00:00:00,I want to upgrade my order to premium shipping before it leaves,purchase
CUST_000220,Electronics,positive,2019-08-04T00:00:00,My credit card was charged twice for the same order,abandon
CUST_000223,Electronics,neutral,2020-02-05T00:00:00,I want to cancel my order before it ships tomorrow,abandon
CUST_000233,Electronics,neutral,2023-11-07T00:00:00,I need durable furniture that can withstand kids and pets,abandon
CUST_000234,Electronics,positive,2019-12-06T00:00:00,I need this shipped urgently for a gift,abandon
CUST_000237,Electronics,positive,2021-08-21T00:00:00,"The laptop I ordered arrived damaged, how do I get a refund?",escalate
